rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456292.99,100,
rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456293.0,100,
rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456293.02,100,
rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456293.03,100,
rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456293.04,100,
rapidez, referencia, tiempo, pid,0.486653073528,0.5,1431456293.05,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.06,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.08,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.09,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.1,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.11,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.13,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.14,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.15,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.16,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.18,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.19,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.2,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.21,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.23,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.24,100,
rapidez, referencia, tiempo, pid,0.6409889294,0.5,1431456293.25,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.26,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.27,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.28,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.3,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.31,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.32,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.33,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.35,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.36,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.37,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.38,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.4,100,
rapidez, referencia, tiempo, pid,0.638529644334,0.5,1431456293.41,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.42,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.43,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.44,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.46,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.47,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.48,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.49,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.51,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.52,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.53,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.54,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.56,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.57,100,
rapidez, referencia, tiempo, pid,0.794245184114,0.5,1431456293.58,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.59,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.6,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.61,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.63,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.64,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.65,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.66,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.68,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.69,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.7,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.71,100,
rapidez, referencia, tiempo, pid,0.73162923593,0.5,1431456293.73,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.74,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.75,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.76,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.77,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.79,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.8,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.81,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.82,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.84,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.85,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.86,100,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.87,77.1879072742,
rapidez, referencia, tiempo, pid,0.86110800892,0.5,1431456293.89,48.5109140388,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.89,100,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.91,100,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.92,100,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.93,100,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.94,100,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.96,96.5389060174,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.97,73.2958259915,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.98,50.0527459656,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456293.99,26.8096659398,
rapidez, referencia, tiempo, pid,0.792682788618,0.5,1431456294.01,3.56658591391,
rapidez, referencia, tiempo, pid,0.742682788618,0.5,1431456294.02,-19.6764941119,
rapidez, referencia, tiempo, pid,0.885284473156,0.5,1431456294.03,-10,
rapidez, referencia, tiempo, pid,0.835284473156,0.5,1431456294.04,-10,
rapidez, referencia, tiempo, pid,0.785284473156,0.5,1431456294.05,-10,
rapidez, referencia, tiempo, pid,0.735284473156,0.5,1431456294.07,-10,
rapidez, referencia, tiempo, pid,0.735284473156,0.5,1431456294.08,4.46480973322,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.09,-14.2200465381,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.1,100,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.11,93.3526303448,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.13,78.6384687862,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.14,63.9243072277,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.15,49.2101456692,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.16,34.4959841106,
rapidez, referencia, tiempo, pid,0.685284473156,0.5,1431456294.17,19.7818225521,
rapidez, referencia, tiempo, pid,0.754106044691,0.5,1431456294.19,-10,
rapidez, referencia, tiempo, pid,0.704106044691,0.5,1431456294.2,-10,
rapidez, referencia, tiempo, pid,0.654106044691,0.5,1431456294.21,-92.3283115732,
rapidez, referencia, tiempo, pid,0.654106044691,0.5,1431456294.22,32.4345272895,
rapidez, referencia, tiempo, pid,0.654106044691,0.5,1431456294.24,20.1963661522,
rapidez, referencia, tiempo, pid,0.654106044691,0.5,1431456294.25,7.95820501483,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.26,-4.27995612249,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.27,100,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.29,100,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.3,100,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.31,99.6511781794,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.32,91.3837117549,
rapidez, referencia, tiempo, pid,0.604106044691,0.5,1431456294.34,83.1162453304,
rapidez, referencia, tiempo, pid,0.730696245854,0.5,1431456294.35,-10,
rapidez, referencia, tiempo, pid,0.680696245854,0.5,1431456294.36,-10,
rapidez, referencia, tiempo, pid,0.630696245854,0.5,1431456294.37,-10,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.38,-55.0819973289,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.4,75.510599536,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.41,69.1021964009,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.42,62.6937932657,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.43,56.2853901306,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.45,49.8769869955,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.46,43.4685838604,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.47,37.0601807252,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.48,30.6517775901,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.5,24.243374455,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.51,17.8349713199,
rapidez, referencia, tiempo, pid,0.580696245854,0.5,1431456294.52,11.4265681847,
rapidez, referencia, tiempo, pid,0.633256592585,0.5,1431456294.53,-10,
rapidez, referencia, tiempo, pid,0.583256592585,0.5,1431456294.54,-10,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.56,-27.3361079231,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.57,100,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.58,100,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.59,100,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.61,99.1007499694,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.62,96.4597144425,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.63,93.8186789156,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.64,91.1776433887,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.66,88.5366078619,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.67,85.895572335,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.68,83.2545368081,
rapidez, referencia, tiempo, pid,0.533256592585,0.5,1431456294.69,80.6135012812,
rapidez, referencia, tiempo, pid,0.679586543493,0.5,1431456294.7,-10,
