rapidez, referencia, distancia, pid,0.537293960874,0.33,0.376992,100,
rapidez, referencia, distancia, pid,0.537293960874,0.33,0.376992,100,
rapidez, referencia, distancia, pid,0.537293960874,0.33,0.376992,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,73.6487659686,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,45.6921080462,
rapidez, referencia, distancia, pid,0.682037363037,0.33,0.502656,17.7354501237,
rapidez, referencia, distancia, pid,0.632037363037,0.33,0.502656,-10.2212077987,
rapidez, referencia, distancia, pid,0.632037363037,0.33,0.502656,100,
rapidez, referencia, distancia, pid,0.633949041639,0.33,0.62832,-67.5536803751,
rapidez, referencia, distancia, pid,0.633949041639,0.33,0.62832,45.3095425729,
rapidez, referencia, distancia, pid,0.633949041639,0.33,0.62832,21.171765521,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,-2.96601153092,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,100,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,93.7008237908,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,73.5337414517,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,53.3666591126,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,33.1995767735,
rapidez, referencia, distancia, pid,0.583949041639,0.33,0.62832,13.0324944343,
