rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.60945987701,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.62234807014,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.63417506218,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.64666891098,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.65928387642,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.67233586311,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.68353295326,100,
rapidez, referencia, tiempo, pid,0.512953960104,0.4,2.69640898705,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.70554995537,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.71816587448,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.73098802567,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.74355101585,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.75556898117,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.7681760788,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.78105306625,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.79291987419,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.8051700592,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.81852507591,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.83091902733,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.84269189835,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.85532307625,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.86752295494,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.88015198708,100,
rapidez, referencia, tiempo, pid,0.641257198369,0.4,2.89272499084,100,
rapidez, referencia, tiempo, pid,0.637762426908,0.4,2.9024939537,100,
rapidez, referencia, tiempo, pid,0.637762426908,0.4,2.91409397125,100,
rapidez, referencia, tiempo, pid,0.637762426908,0.4,2.92670202255,100,
rapidez, referencia, tiempo, pid,0.637762426908,0.4,2.93932986259,100,
