rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
