rapidez, referencia, pid,0.524566617754,0.33,-10,
rapidez, referencia, pid,0.474566617754,0.33,-10,
rapidez, referencia, pid,0.424566617754,0.33,-45.164155246,
rapidez, referencia, pid,0.424566617754,0.33,84.3269413716,
rapidez, referencia, pid,0.424566617754,0.33,76.8170379891,
rapidez, referencia, pid,0.424566617754,0.33,69.3071346066,
rapidez, referencia, pid,0.424566617754,0.33,61.7972312241,
rapidez, referencia, pid,0.424566617754,0.33,54.2873278416,
rapidez, referencia, pid,0.424566617754,0.33,46.7774244591,
rapidez, referencia, pid,0.424566617754,0.33,39.2675210766,
rapidez, referencia, pid,0.424566617754,0.33,31.7576176941,
rapidez, referencia, pid,0.424566617754,0.33,24.2477143116,
rapidez, referencia, pid,0.424566617754,0.33,16.7378109292,
rapidez, referencia, pid,0.424566617754,0.33,9.22790754667,
rapidez, referencia, pid,0.625944354346,0.33,-10,
rapidez, referencia, pid,0.575944354346,0.33,-10,
rapidez, referencia, pid,0.525944354346,0.33,-10,
rapidez, referencia, pid,0.475944354346,0.33,-10,
rapidez, referencia, pid,0.425944354346,0.33,-10,
rapidez, referencia, pid,0.375944354346,0.33,-99.8234278242,
rapidez, referencia, pid,0.375944354346,0.33,33.5289520781,
rapidez, referencia, pid,0.375944354346,0.33,29.8803319804,
rapidez, referencia, pid,0.375944354346,0.33,26.2317118828,
rapidez, referencia, pid,0.375944354346,0.33,22.5830917851,
rapidez, referencia, pid,0.375944354346,0.33,18.9344716874,
rapidez, referencia, pid,0.375944354346,0.33,15.2858515897,
rapidez, referencia, pid,0.375944354346,0.33,11.637231492,
rapidez, referencia, pid,0.375944354346,0.33,7.98861139434,
rapidez, referencia, pid,0.375944354346,0.33,4.33999129665,
rapidez, referencia, pid,0.375944354346,0.33,0.691371198967,
rapidez, referencia, pid,0.325944354346,0.33,-2.95724889872,
rapidez, referencia, pid,0.325944354346,0.33,100,
rapidez, referencia, pid,0.325944354346,0.33,100,
rapidez, referencia, pid,0.497660678066,0.33,-10,
rapidez, referencia, pid,0.447660678066,0.33,-10,
rapidez, referencia, pid,0.397660678066,0.33,-10,
rapidez, referencia, pid,0.347660678066,0.33,-10,
rapidez, referencia, pid,0.347660678066,0.33,28.4652757821,
rapidez, referencia, pid,0.347660678066,0.33,27.0627725617,
rapidez, referencia, pid,0.347660678066,0.33,25.6602693413,
rapidez, referencia, pid,0.347660678066,0.33,24.2577661209,
rapidez, referencia, pid,0.347660678066,0.33,22.8552629004,
rapidez, referencia, pid,0.347660678066,0.33,21.45275968,
rapidez, referencia, pid,0.347660678066,0.33,20.0502564596,
rapidez, referencia, pid,0.347660678066,0.33,18.6477532392,
rapidez, referencia, pid,0.347660678066,0.33,17.2452500188,
rapidez, referencia, pid,0.347660678066,0.33,15.8427467984,
rapidez, referencia, pid,0.347660678066,0.33,14.440243578,
rapidez, referencia, pid,0.347660678066,0.33,13.0377403575,
rapidez, referencia, pid,0.347660678066,0.33,11.6352371371,
rapidez, referencia, pid,0.347660678066,0.33,10.2327339167,
rapidez, referencia, pid,0.347660678066,0.33,8.83023069631,
rapidez, referencia, pid,0.347660678066,0.33,7.4277274759,
rapidez, referencia, pid,0.455594358326,0.33,-10,
rapidez, referencia, pid,0.405594358326,0.33,-10,
rapidez, referencia, pid,0.355594358326,0.33,-10,
rapidez, referencia, pid,0.305594358326,0.33,-46.2650740488,
rapidez, referencia, pid,0.305594358326,0.33,92.6740729984,
rapidez, referencia, pid,0.305594358326,0.33,94.6122200456,
rapidez, referencia, pid,0.305594358326,0.33,96.5503670928,
rapidez, referencia, pid,0.305594358326,0.33,98.48851414,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.305594358326,0.33,100,
rapidez, referencia, pid,0.353760518041,0.33,-10,
rapidez, referencia, pid,0.303760518041,0.33,-8.28375224868,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
